m,comparisons,time (ms)
5,10361,3
6,10226,0
7,9893,1
8,9795,0
9,9985,0
10,9604,0
11,9538,1
12,9118,0
13,9288,0
14,9131,0
15,8940,0
16,8933,0
17,8899,0
18,8308,0
19,8483,0
20,8177,0
