m,comparisons,time (ms)
5,150231,31
6,146812,16
7,145709,21
8,140007,11
9,140429,8
10,143785,6
11,138387,7
12,138183,6
13,137448,6
14,137642,6
15,133647,7
16,131168,7
17,136133,6
18,130487,6
19,134534,8
20,126738,6
