m,comparisons,time (ms)
5,24027325,1074
6,24193860,1033
7,23566548,1024
8,23617050,1036
9,23590336,1037
10,23294069,1039
11,23134322,1037
12,22969286,1031
13,23159465,1043
14,23153091,1049
15,22889026,1057
16,22522868,1051
17,22215489,1045
18,22580479,1056
19,22349590,1055
20,22508789,1058
